outer_fold,segments,top_k,pr_auc,f1
4,12,1,0.8451157565631251,0.7186772486772487
4,12,2,0.8642875442959429,0.7194179894179894
4,12,3,0.8369403839365027,0.7494708994708996
4,13,1,0.8427090073431537,0.6522222222222223
4,13,2,0.8616001736441988,0.7425925925925926
4,13,3,0.8504348647252667,0.7402645502645503
4,14,1,0.7988917172258133,0.6646560846560846
4,14,2,0.8836773717238832,0.7225925925925927
4,14,3,0.8382755718189893,0.7755026455026456
4,15,1,0.7856020796324621,0.6917989417989419
4,15,2,0.8479712861575608,0.694973544973545
4,15,3,0.8445408175082972,0.7402645502645503
5,1,1,0.7673557731474755,0.6853968253968254
5,1,2,0.7673557731474755,0.6853968253968254
5,1,3,0.7673557731474755,0.6853968253968254
5,2,1,0.816790291699712,0.7549206349206351
5,2,2,0.7673557731474755,0.6853968253968254
5,2,3,0.7673557731474755,0.6853968253968254
5,3,1,0.9457275132275133,0.7792592592592594
5,3,2,0.9022068160597573,0.7631216931216932
5,3,3,0.7673557731474755,0.6853968253968254
5,4,1,0.9233994708994708,0.76989417989418
5,4,2,0.8983991612252482,0.7973544973544975
5,4,3,0.7979255816063674,0.7885714285714287
5,5,1,0.9507142857142856,0.8435978835978837
5,5,2,0.9123794710388912,0.7840211640211642
5,5,3,0.8241075079604491,0.8057142857142858
5,6,1,0.919126984126984,0.8481481481481482
5,6,2,0.911986531986532,0.7914285714285716
5,6,3,0.8495687955897555,0.7815873015873017
5,7,1,0.9560978835978834,0.80978835978836
5,7,2,0.9215009337068161,0.7792592592592594
5,7,3,0.8631132139465473,0.7755555555555557
5,8,1,0.9060661375661376,0.806825396825397
5,8,2,0.9166096866096866,0.742910052910053
5,8,3,0.9003888041359437,0.7914285714285716
5,9,1,0.9382431457431457,0.7525925925925928
5,9,2,0.9041890516890516,0.7673015873015874
5,9,3,0.8628929938460157,0.7461904761904763
5,10,1,0.8760495522995522,0.7534920634920634
5,10,2,0.8933234580613097,0.7525925925925928
5,10,3,0.8832407407407407,0.7914285714285716
5,11,1,0.8737929507768218,0.7833333333333334
5,11,2,0.905022385022385,0.7647619047619049
5,11,3,0.8883994708994707,0.7914285714285716
5,12,1,0.8980882352941176,0.7641269841269841
5,12,2,0.9057631257631258,0.7739682539682541
5,12,3,0.884774233521373,0.7673015873015874
5,13,1,0.8618881390940214,0.7614285714285715
5,13,2,0.8876515151515151,0.7571957671957673
5,13,3,0.8915964590964591,0.7853968253968255
5,14,1,0.8500863086882577,0.7546031746031747
5,14,2,0.8946778805989333,0.7917460317460319
5,14,3,0.8661393820604347,0.7914285714285716
5,15,1,0.8629848201907026,0.7612698412698415
5,15,2,0.888990638990639,0.7801587301587303
5,15,3,0.8768245289050017,0.7853968253968255
6,1,1,0.7244469122837244,0.6165079365079364
6,1,2,0.7244469122837244,0.6165079365079364
6,1,3,0.7244469122837244,0.6165079365079364
6,2,1,0.791055109075473,0.7249206349206349
6,2,2,0.7244469122837244,0.6165079365079364
6,2,3,0.7244469122837244,0.6165079365079364
6,3,1,0.8787713051843487,0.7382539682539683
6,3,2,0.866571533305404,0.7509523809523809
6,3,3,0.7244469122837244,0.6165079365079364
6,4,1,0.8754875971981234,0.6662433862433862
6,4,2,0.8680211438408654,0.7576719576719577
6,4,3,0.7745434503767837,0.7419047619047618
